Time Value Amplification Displacement
9 7373 0 1959
40 7370 0 1959
72 7366 0 1959
104 7362 0 1959
137 7608 0 1959
167 7451 0 1959
200 7347 0 1959
232 7295 0 1959
264 7285 0 1959
296 7300 0 1959
328 7326 0 1959
360 7352 0 1959
392 7373 0 1959
424 7387 0 1959
456 7394 0 1959
488 7396 0 1959
520 7395 0 1959
552 7392 0 1959
583 7388 0 1959
615 7385 0 1959
647 7382 0 1959
680 7380 0 1959
711 7378 0 1959
743 7376 0 1959
776 7375 0 1959
807 7374 0 1959
840 7372 0 1959
872 7370 0 1959
904 7368 0 1959
936 7365 0 1959
968 7363 0 1959
1000 7361 0 1959
1032 7359 0 1959
1063 7358 0 1959
1096 7356 0 1959
1127 7353 0 1971
1159 7350 0 1971
1191 7349 0 1971
1224 7353 0 1971
1255 7366 0 1971
1287 7387 0 1971
1319 7410 0 1971
1351 7433 0 1971
1384 7451 0 1971
1415 7463 0 1971
1448 7469 0 1971
1479 7471 0 1971
1511 7470 0 1971
1543 7467 0 1971
1575 7463 0 1971
1607 7460 0 1971
1639 7458 0 1971
1671 7457 0 1971
1703 7456 0 1971
1735 7456 0 1971
1767 7456 0 1973
1799 7456 0 1973
1831 7458 0 1973
1864 7461 0 1973
1895 7466 0 1973
1927 7473 0 1973
1959 7479 0 1973
1990 7483 0 1973
2023 7484 0 1973
2055 7483 0 1973
2086 7479 0 1973
2119 7474 0 1973
2150 7470 0 1973
2182 7467 0 1973
2215 7468 0 1973
2247 7471 0 1973
2278 7476 0 1973
2310 7483 0 1973
2342 7490 0 1973
2375 7496 0 1973
2406 7500 0 1973
2439 7502 0 1973
2471 7502 0 1973
2502 7500 0 1973
2535 7498 0 1973
2567 7495 0 1973
2599 7493 0 1973
2631 7490 0 1973
2663 7489 0 1973
2694 7487 0 1973
2727 7486 0 1973
2758 7485 0 1973
2791 7483 0 1976
2822 7482 0 1976
2854 7481 0 1976
2886 7481 0 1976
2918 7483 0 1976
2950 7485 0 1976
2983 7487 0 1976
3014 7489 0 1976
3046 7489 0 1976
3078 7490 0 1976
3110 7491 0 1976
3142 7495 0 1976
3174 7500 0 1976
3206 7507 0 1976
3238 7513 0 1976
3270 7519 0 1976
3303 7524 0 1976
3334 7527 0 1976
3367 7527 0 1976
3398 7526 0 1976
3430 7523 0 1976
3462 7521 0 1976
3495 7517 0 1976
3526 7514 0 1976
3558 7511 0 1976
3590 7509 0 1976
3622 7507 0 1976
3654 7505 0 1976
3686 7503 0 1976
3718 7500 0 1976
3750 7499 0 1976
3782 7497 0 1999
3814 7495 0 1999
3845 7495 0 1999
3877 7505 0 1999
3910 7528 0 1999
3941 7561 0 1999
3973 7596 0 1999
4006 7627 0 1999
4037 7650 0 1999
4069 7664 0 1999
4102 7673 0 1999
4133 7676 0 1999
4166 7676 0 1999
4197 7675 0 1999
4229 7672 0 1999
4261 7669 0 1999
4293 7667 0 1999
4325 7664 0 1999
4358 7663 0 1999
4390 7662 0 1999
4421 7663 0 1999
4453 7664 0 1999
4485 7666 0 1999
4518 7669 0 1999
4549 7673 0 1999
4581 7678 0 1999
4613 7684 0 1999
4645 7692 0 1999
4677 7702 0 1999
4710 7714 0 1999
4741 7729 0 1999
4773 7747 0 1999
4805 7768 0 2049
4837 7798 0 2049
4869 7851 0 2049
4900 7937 0 2049
4933 8045 0 2049
4965 8154 0 2049
4997 8247 0 2049
5029 8317 0 2049
5061 8363 0 2049
5093 8390 0 2049
5125 8405 0 2049
5158 8416 0 2049
5189 8428 0 2049
5221 8442 0 2049
5252 8458 0 2049
5285 8476 0 2049
5317 8492 0 2049
5349 8504 0 2049
5381 8509 0 2049
5414 8507 0 2049
5445 8495 0 2049
5476 8475 0 2049
5509 8447 0 2049
5540 8414 0 2049
5572 8378 0 2049
5605 8342 0 2049
5637 8309 0 2049
5669 8280 0 2049
5700 8256 0 2049
5732 8236 0 2049
5764 8219 0 2049
5797 8204 0 2067
5828 8192 156 2067
5861 8188 156 2067
5893 8196 156 2067
5925 8218 156 2067
5957 8243 156 2067
5989 8262 156 2067
6021 8267 156 2067
6052 8259 156 2067
6084 8240 156 2067
6116 8215 156 2067
6148 8188 156 2067
6180 8163 156 2067
6212 8141 156 2067
6244 8122 156 2067
6276 8105 156 2067
6308 8090 156 2067
6340 8076 156 2067
6372 8065 156 2067
6404 8058 156 2067
6452 8056 156 2067
6484 8061 156 2067
6517 8072 156 2067
6549 8089 156 2067
6580 8108 156 2067
6612 8128 156 2067
6644 8148 156 2067
6676 8173 156 2067
6708 8203 156 2067
6740 8241 156 2067
6772 8284 156 2067
6804 8325 156 2067
6836 8357 156 2067
6868 8372 156 2070
6900 8368 176 2070
6932 8351 176 2070
6963 8325 176 2070
6996 8296 176 2070
7028 8262 176 2070
7059 8221 176 2070
7092 8175 176 2070
7124 8125 176 2070
7156 8078 176 2070
7187 8038 176 2070
7220 8010 176 2070
7252 7995 176 2070
7283 7994 176 2070
7316 8003 176 2070
7348 8018 176 2070
7380 8035 176 2070
7412 8052 176 2070
7444 8064 176 2070
7475 8072 176 2070
7507 8075 176 2070
7540 8074 176 2070
7572 8070 176 2070
7604 8064 176 2070
7636 8057 176 2070
7668 8051 176 2070
7700 8045 176 2070
7732 8040 176 2070
7764 8036 176 2070
7796 8033 176 2070
7828 8030 176 2070
7859 8027 176 2070
7891 8024 176 2070
7923 8018 176 2070
7956 8012 176 2070
7987 8007 176 2070
8019 8003 176 2070
8051 8004 176 2070
8083 8010 176 2070
8115 8022 176 2070
8147 8037 176 2070
8178 8053 176 2070
8212 8069 176 2070
8243 8082 176 2070
8275 8089 176 2070
8306 8092 176 2070
8339 8091 176 2070
8371 8087 176 2070
8403 8082 176 2070
8436 8077 176 2070
8467 8073 176 2070
8498 8070 176 2070
8531 8068 176 2070
8562 8068 176 2070
8594 8068 176 2070
8629 8071 176 2070
8659 8077 176 2070
8691 8086 176 2070
8722 8099 176 2070
8754 8115 176 2070
8787 8136 176 2070
8819 8162 176 2070
8850 8193 176 2070
8882 8233 176 2070
8914 8283 176 2070
8947 8341 176 2070
8979 8409 176 2070
9011 8483 176 2070
9042 8561 176 2070
9074 8639 176 2070
9106 8713 176 2070
9139 8782 176 2070
9171 8844 176 2070
9202 8902 176 2070
9234 8955 176 2070
9266 9007 176 2070
9298 9058 176 2070
9331 9110 176 2070
9363 9163 176 2070
9394 9215 176 2070
9427 9264 176 2066
9459 9306 176 2066
9490 9333 176 2066
9522 9336 176 2066
9554 9315 176 2066
9586 9271 176 2066
9618 9205 176 2066
9650 9122 176 2066
9682 9027 176 2066
9714 8926 176 2066
9746 8824 176 2066
9777 8727 176 2066
9810 8639 176 2066
9842 8563 176 2066
9875 8501 176 2066
9907 8453 176 2066
9938 8415 176 2066
9971 8384 176 2066
10002 8358 176 2066
10034 8333 176 2066
10066 8308 176 2066
10098 8282 176 2066
10130 8257 176 2066
10162 8233 176 2066
10194 8211 176 2066
10226 8192 176 2066
10258 8176 176 2066
10290 8162 176 2066
10322 8149 176 2066
10354 8136 176 2066
10385 8125 176 2066
10418 8114 176 2066
10449 8104 176 2062
10481 8094 176 2062
10513 8082 176 2062
10546 8069 176 2062
10577 8055 176 2062
10610 8041 176 2062
10642 8029 176 2062
10674 8021 176 2062
10706 8018 176 2062
10737 8022 176 2062
10770 8032 176 2062
10802 8047 176 2062
10834 8064 176 2062
10865 8075 176 2062
10897 8077 176 2062
10930 8069 176 2062
10963 8055 176 2062
10994 8040 176 2062
11025 8025 176 2062
11057 8012 176 2062
11089 8003 176 2062
11121 7997 176 2062
11154 7992 176 2062
