Time Value Amplification Displacement
9 0 193 2023
40 0 193 2023
72 0 193 2023
104 0 193 2023
137 0 193 2023
167 0 193 2023
200 0 193 2023
232 0 193 2023
264 0 193 2023
296 0 193 2023
328 0 193 2023
360 0 193 2023
392 0 193 2023
424 0 193 2023
456 0 193 2023
488 0 193 2023
520 0 193 2023
552 0 193 2023
583 0 193 2023
615 0 193 2023
647 0 193 2023
680 0 193 2023
711 0 193 2023
743 0 193 2023
776 0 193 2023
807 0 193 2023
840 0 193 2023
872 0 193 2023
904 0 193 2023
936 0 193 2023
968 0 193 2023
1000 0 193 2023
1032 0 193 2023
1063 0 193 2023
1096 0 193 2023
1127 0 193 2023
1159 0 193 2023
1191 0 193 2023
1224 0 193 2023
1255 0 193 2023
1287 0 193 2023
1319 0 193 2023
1351 0 193 2023
1384 0 193 2023
1415 0 193 2023
1448 0 193 2023
1479 0 193 2023
1511 0 193 2023
1543 0 193 2023
1575 0 193 2023
1607 0 193 2023
1639 0 193 2023
1671 0 193 2023
1703 0 193 2023
1735 0 193 2023
1767 0 193 2023
1799 0 193 2023
1831 0 193 2023
1864 0 193 2023
1895 0 193 2023
1927 0 193 2023
1959 0 193 2023
1990 0 193 2023
2023 0 193 2023
2055 0 193 2023
2086 0 193 2023
2119 0 193 2023
2150 0 193 2023
2182 0 193 2023
2215 0 193 2023
2247 0 193 2023
2278 0 193 2023
2310 0 193 2023
2342 0 193 2023
2375 0 193 2023
2406 0 193 2023
2439 0 193 2023
2471 0 193 2023
2502 0 193 2023
2535 0 193 2023
2567 0 193 2023
2599 0 193 2023
2631 0 193 2023
2663 0 193 2023
2694 0 193 2023
2727 0 193 2023
2758 0 193 2023
2791 0 193 2023
2822 0 193 2023
2854 0 193 2023
2886 0 193 2023
2918 0 193 2023
2950 0 193 2023
2983 0 193 2023
3014 0 193 2023
3046 0 193 2023
3078 0 193 2023
3110 0 193 2023
3142 0 193 2023
3174 0 193 2023
3206 0 193 2023
3238 0 193 2023
3270 0 193 2023
3303 0 193 2023
3334 0 193 2023
3367 0 193 2023
3398 0 193 2023
3430 0 193 2023
3462 0 193 2023
3495 0 193 2023
3526 0 193 2023
3558 0 193 2023
3590 0 193 2023
3622 0 193 2023
3654 0 193 2023
3686 0 193 2023
3718 0 193 2023
3750 0 193 2023
3782 0 193 2023
3814 0 193 2023
3845 0 193 2023
3877 0 193 2023
3910 0 193 2023
3941 0 193 2023
3973 0 193 2023
4006 0 193 2023
4037 0 193 2023
4069 0 193 2023
4102 0 193 2023
4133 0 193 2023
4166 0 193 2023
4197 0 193 2023
4229 0 193 2023
4261 0 193 2023
4293 0 193 2023
4325 0 193 2023
4358 0 193 2023
4390 0 193 2023
4421 0 193 2023
4453 0 193 2023
4485 0 193 2023
4518 0 193 2023
4549 0 193 2023
4581 0 193 2023
4613 0 193 2023
4645 0 193 2023
4677 0 193 2023
4710 0 193 2023
4741 0 193 2023
4773 0 193 2023
4805 0 193 2023
4837 0 193 2023
4869 0 193 2023
4900 0 193 2023
4933 0 193 2023
4965 0 193 2023
4997 0 193 2023
5029 0 193 2023
5061 0 193 2023
5093 0 193 2023
5125 0 193 2023
5158 0 193 2023
5189 0 193 2023
5221 0 193 2023
5252 0 193 2023
5285 0 193 2023
5317 0 193 2023
5349 0 193 2023
5381 0 193 2023
5414 0 193 2023
5445 0 193 2023
5476 0 193 2023
5509 0 193 2023
5540 0 193 2023
5572 0 193 2023
5605 0 193 2023
