Time Value Amplification Displacement
9 224 156 2565
40 224 156 2565
72 225 156 2565
104 224 156 2565
137 0 156 2565
167 0 156 2565
200 20 156 2565
232 363 156 2565
264 419 156 2565
296 320 156 2565
328 219 156 2565
360 181 156 2565
392 193 156 2565
424 218 156 2565
456 233 156 2565
488 235 156 2565
520 229 156 2565
552 224 156 2565
583 222 156 2565
615 223 156 2565
647 224 156 2565
680 225 156 2565
711 226 156 2565
743 226 156 2565
776 225 156 2565
807 224 156 2565
840 224 156 2565
872 224 156 2565
904 226 156 2565
936 227 156 2565
968 227 156 2565
1000 227 156 2565
1032 227 156 2565
1063 227 156 2565
1096 226 156 2565
1127 226 156 2565
1159 225 156 2565
1191 224 156 2565
1224 224 156 2565
1255 225 156 2565
1287 227 156 2565
1319 229 156 2565
1351 229 156 2565
1384 228 156 2565
1415 226 156 2565
1448 226 156 2565
1479 227 156 2565
1511 227 156 2565
1543 226 156 2565
1575 225 156 2565
1607 225 156 2565
1639 225 156 2565
1671 225 156 2565
1703 227 156 2565
1735 228 156 2565
1767 229 156 2565
1799 228 156 2565
1831 227 156 2565
1864 228 156 2565
1895 229 156 2565
1927 229 156 2565
1959 228 156 2565
1990 228 156 2565
2023 228 156 2565
2055 229 156 2565
2086 229 156 2565
2119 229 156 2565
2150 228 156 2565
2182 228 156 2565
2215 226 156 2565
2247 226 156 2565
2278 226 156 2565
2310 227 156 2565
2342 227 156 2565
2375 228 156 2565
2406 228 156 2565
2439 229 156 2565
2471 230 156 2565
2502 230 156 2565
2535 229 156 2565
2567 228 156 2565
2599 227 156 2565
2631 227 156 2565
2663 227 156 2565
2694 229 156 2565
2727 229 156 2565
2758 229 156 2565
2791 228 156 2565
2822 228 156 2565
2854 228 156 2565
2886 227 156 2565
2918 227 156 2565
2950 226 156 2565
2983 225 156 2565
3014 224 156 2565
3046 224 156 2565
3078 225 156 2565
3110 227 156 2565
3142 229 156 2565
3174 228 156 2565
3206 226 156 2565
3238 225 156 2565
3270 226 156 2565
3303 227 156 2565
3334 227 156 2565
3367 227 156 2565
3398 227 156 2565
3430 227 156 2565
3462 227 156 2565
3495 227 156 2565
3526 227 156 2565
3558 227 156 2565
3590 227 156 2565
3622 227 156 2565
3654 226 156 2565
3686 227 156 2565
3718 227 156 2565
3750 227 156 2565
3782 227 156 2565
3814 227 156 2565
3845 228 156 2565
3877 228 156 2565
3910 227 156 2565
3941 226 156 2565
3973 225 156 2565
4006 225 156 2565
4037 226 156 2565
4069 227 156 2565
4102 226 156 2565
4133 223 156 2565
4166 222 156 2565
4197 223 156 2565
4229 224 156 2565
4261 225 156 2565
4293 226 156 2565
4325 227 156 2565
4358 227 156 2565
4390 226 156 2565
4421 225 156 2565
4453 225 156 2565
