Time Value Amplification Displacement
9 8039 193 2013
40 8034 193 2013
72 8035 193 2013
104 8032 193 2013
137 8019 193 2013
167 8019 193 2013
200 8027 193 2013
232 8031 193 2023
264 8027 193 2023
296 8008 193 2023
328 7952 193 2023
360 7867 193 2023
392 7795 193 2023
424 7762 193 2023
456 7760 193 2023
488 7769 193 2023
520 7772 193 2023
552 7768 193 2023
583 7761 193 2023
615 7755 193 2023
647 7750 193 2023
680 7745 193 2023
711 7741 193 2023
743 7739 193 2023
776 7737 193 2023
807 7735 193 2009
840 7732 193 2009
872 7744 193 2009
904 7805 193 2009
936 7909 193 2009
968 7998 193 2009
1000 8034 193 2009
1032 8027 193 2009
1063 8005 193 2009
1096 7990 193 2009
1127 7988 193 2009
1159 7995 193 2009
1191 8004 193 2009
1224 8010 193 2009
1255 8012 193 2009
1287 8011 193 2009
1319 8010 193 2009
1351 8009 193 2009
1384 8009 193 2009
1415 8008 193 2009
1448 8008 193 2008
1479 8008 193 2008
1511 8007 193 2008
1543 8009 193 2008
1575 8015 193 2008
1607 8019 193 2008
1639 8019 193 2008
1671 8017 193 2008
1703 8014 193 2008
1735 8011 193 2008
1767 8009 193 2008
1799 8008 193 2008
1831 8006 193 2008
1864 8005 193 2008
1895 8003 193 2008
1927 8002 193 2008
1959 8001 193 2008
1990 8001 193 2008
2023 8000 193 2008
2055 8000 193 2008
2086 8000 193 2008
2119 8000 193 2008
2150 8001 193 2008
2182 8003 193 2008
2215 8005 193 2008
2247 8006 193 2008
2278 8006 193 2008
2310 8004 193 2008
2342 8002 193 2008
2375 8001 193 2008
2406 8000 193 2008
2439 7999 193 2008
2471 7998 193 2006
2502 7998 193 2006
2535 8002 193 2006
2567 8012 193 2006
2599 8028 193 2006
2631 8039 193 2006
2663 8043 193 2006
2694 8041 193 2006
2727 8038 193 2006
2758 8035 193 2006
2791 8033 193 2006
2822 8033 193 2006
2854 8033 193 2006
2886 8033 193 2006
2918 8033 193 2006
2950 8033 193 2006
2983 8033 193 2006
3014 8032 193 2006
