Time Value Amplification Displacement
9 7680 253 2016
40 7662 253 2016
72 7714 253 2016
104 7674 253 2016
137 7623 253 2016
167 7673 253 2016
200 7754 253 2016
232 7828 253 2016
264 7834 253 2016
296 7879 253 2016
328 7892 253 2016
360 7948 253 2016
392 7916 253 2016
424 7912 253 2016
456 7854 253 2016
488 7843 253 2016
520 7823 253 2016
552 7815 253 2016
583 7782 253 2016
615 7760 253 2016
647 7578 253 2016
680 7509 253 2016
711 7472 253 2016
743 7654 253 2016
776 7646 253 2016
807 7664 253 2016
840 7755 253 2016
872 7905 253 2016
904 7799 253 2016
936 7850 253 2016
968 7802 253 2016
1000 7810 253 2016
1032 7772 253 2016
1063 7663 253 2016
1096 7810 253 2016
1127 7811 253 2016
1159 7912 253 2016
1191 7898 253 2016
1224 7882 253 2016
1255 8028 253 2016
1287 8027 253 2016
1319 7992 253 2016
1351 8080 253 2016
1384 8043 253 2016
1415 8115 253 2016
1448 8175 253 2016
1479 8173 253 2016
1511 8248 253 2016
1543 8149 253 2016
1575 8211 253 2016
1607 7939 253 2016
1639 7977 253 2016
1671 8043 253 2016
1703 7975 253 2016
1735 8069 253 2016
1767 8230 253 2016
1799 8271 253 2016
1831 8429 253 2016
1864 8273 253 2016
1895 8291 253 2016
1927 8167 253 2016
1959 7915 253 2016
1990 8028 253 2016
2023 7792 253 2016
2055 7907 253 2016
2086 7983 253 2016
2119 7990 253 2016
2150 8048 253 2016
2182 8055 253 2016
2215 8045 253 2016
2247 8142 253 2016
2278 8075 253 2016
2310 8295 253 2016
2342 8295 253 2016
2375 8266 253 2016
2406 8341 253 2016
2439 8175 253 2016
2471 8142 253 2016
2502 8121 253 2016
2535 8087 253 2016
2567 7945 253 2016
2599 7939 253 2016
2631 7967 253 2016
2663 8032 253 2016
2694 7940 253 2016
2727 8014 253 2016
2758 7925 253 2016
2791 8033 253 2016
2822 8010 253 2016
2854 7908 253 2016
2886 7916 253 2016
2918 7841 253 2016
2950 7928 253 2016
2983 7868 253 2016
3014 7973 253 2016
3046 8046 253 2016
3078 8005 253 2016
3110 8104 253 2016
3142 8090 253 2016
3174 7980 253 2016
3206 7887 253 2016
3238 7574 253 2016
