Time Value Amplification Displacement
9 7544 0 1983
40 7543 0 1983
72 7542 0 1983
104 7541 0 1983
137 7731 0 1983
167 7608 0 1983
200 7528 0 1983
232 7489 0 1983
264 7483 0 1983
296 7495 0 1983
328 7514 0 1983
360 7532 0 1983
392 7545 0 1983
424 7551 0 1983
456 7553 0 1983
488 7551 0 1983
520 7549 0 1983
552 7547 0 1983
583 7545 0 1983
615 7545 0 1983
647 7544 0 1983
680 7545 0 1983
711 7545 0 1983
743 7545 0 1983
776 7546 0 1983
807 7546 0 1983
840 7546 0 1983
872 7546 0 1988
904 7546 0 1988
936 7545 0 1988
968 7545 0 1988
1000 7544 0 1988
1032 7543 0 1988
1063 7541 0 1988
1096 7540 0 1988
1127 7539 0 1988
1159 7541 0 1988
1191 7545 0 1988
1224 7552 0 1988
1255 7560 0 1988
1287 7567 0 1988
1319 7571 0 1988
1351 7574 0 1988
1384 7576 0 1988
1415 7577 0 1988
1448 7577 0 1988
1479 7577 0 1988
1511 7577 0 1989
1543 7576 0 1989
1575 7576 0 1989
1607 7577 0 1989
1639 7577 0 1989
1671 7577 0 1989
1703 7578 0 1989
1735 7578 0 1989
1767 7579 0 1989
1799 7579 0 1989
1831 7581 0 1989
1864 7582 0 1989
1895 7584 0 1989
1927 7584 0 1989
1959 7583 0 1989
1990 7582 0 1989
2023 7580 0 1989
2055 7578 0 1989
2086 7577 0 1989
2119 7577 0 1989
2150 7577 0 1989
2182 7578 0 1989
2215 7580 0 1989
2247 7581 0 1989
2278 7583 0 1989
2310 7584 0 1989
2342 7585 0 1989
2375 7587 0 1989
2406 7587 0 1989
2439 7588 0 1989
2471 7588 0 1989
2502 7589 0 1989
2535 7589 0 1991
2567 7588 0 1991
2599 7588 0 1991
2631 7589 0 1991
2663 7589 0 1991
2694 7589 0 1991
2727 7590 0 1991
2758 7590 0 1991
2791 7590 0 1991
2822 7590 0 1991
2854 7591 0 1991
2886 7592 0 1991
2918 7594 0 1991
2950 7595 0 1991
2983 7596 0 1991
3014 7596 0 1991
3046 7596 0 1991
3078 7596 0 1991
3110 7596 0 1991
3142 7596 0 1991
3174 7596 0 1991
3206 7597 0 1991
3238 7598 0 1991
3270 7599 0 1991
3303 7600 0 1991
3334 7601 0 1991
3367 7602 0 1991
3398 7602 0 1991
3430 7602 0 1991
3462 7602 0 1991
3495 7601 0 1991
3526 7601 0 2006
3558 7600 0 2006
3590 7600 0 2006
3622 7600 0 2006
3654 7600 0 2006
3686 7600 0 2006
3718 7599 0 2006
3750 7598 0 2006
3782 7598 0 2006
3814 7604 0 2006
3845 7619 0 2006
3877 7641 0 2006
3910 7663 0 2006
3941 7682 0 2006
3973 7694 0 2006
4006 7700 0 2006
4037 7702 0 2006
4069 7701 0 2006
4102 7699 0 2006
4133 7697 0 2006
4166 7696 0 2006
4197 7696 0 2006
4229 7697 0 2006
4261 7698 0 2006
4293 7699 0 2006
4325 7700 0 2006
4358 7701 0 2006
4390 7701 0 2006
4421 7702 0 2006
4453 7703 0 2006
4485 7704 0 2006
4518 7704 0 2050
4549 7703 0 2050
4581 7703 0 2050
4613 7702 0 2050
4645 7701 0 2050
4677 7701 0 2050
4710 7701 0 2050
4741 7702 0 2050
4773 7709 0 2050
4805 7733 0 2050
4837 7785 0 2050
4869 7855 0 2050
4900 7928 0 2050
4933 7988 0 2050
4965 8030 0 2050
4997 8054 0 2050
5029 8064 0 2050
5061 8065 0 2050
5093 8063 0 2050
5125 8063 0 2050
5158 8065 0 2050
5189 8070 0 2050
5221 8077 0 2050
5252 8085 0 2050
5285 8093 0 2050
5317 8100 0 2050
5349 8104 0 2050
5381 8106 0 2050
5414 8106 0 2050
5445 8102 0 2075
5476 8097 0 2075
5509 8090 0 2075
5540 8082 0 2075
5572 8074 0 2075
5605 8066 0 2075
5637 8057 0 2075
5669 8049 0 2075
5700 8042 0 2075
5732 8036 0 2075
5764 8033 176 2075
5797 8040 176 2075
5828 8063 176 2075
5861 8096 176 2075
5893 8131 176 2075
5925 8158 176 2075
5957 8174 176 2075
5989 8179 176 2075
6021 8176 176 2075
6052 8168 176 2075
6084 8159 176 2075
6116 8151 176 2075
6148 8143 176 2075
6180 8136 176 2075
6212 8130 176 2075
6244 8125 176 2075
6276 8120 176 2075
6308 8116 176 2075
6340 8112 176 2075
6372 8110 176 2075
6404 8108 176 2075
6452 8108 176 2075
6484 8108 176 2075
6517 8109 176 2075
6549 8111 176 2075
6580 8113 176 2077
6612 8117 176 2077
6644 8119 176 2077
6676 8119 176 2077
6708 8115 176 2077
6740 8107 176 2077
6772 8096 176 2077
6804 8082 176 2077
6836 8068 240 2077
6868 8052 240 2077
6900 8016 240 2077
6932 7949 240 2077
6963 7860 240 2077
6996 7772 240 2077
7028 7703 240 2077
7059 7662 240 2077
7092 7651 240 2077
7124 7663 240 2077
7156 7688 240 2077
7187 7718 240 2077
7220 7745 240 2077
7252 7768 240 2077
7283 7785 240 2077
7316 7797 240 2077
7348 7806 240 2077
7380 7818 240 2077
7412 7838 240 2077
7444 7870 240 2077
7475 7914 240 2077
7507 7965 240 2077
7540 8014 236 2077
7572 8053 236 2077
7604 8076 236 2077
7636 8083 236 2077
7668 8076 236 2077
7700 8058 236 2077
7732 8034 236 2077
7764 8006 236 2077
7796 7979 236 2077
7828 7953 236 2077
7859 7933 236 2077
7891 7920 236 2077
7923 7917 236 2077
7956 7921 236 2077
7987 7926 236 2077
8019 7931 236 2077
8051 7937 236 2077
8083 7943 236 2077
8115 7951 236 2077
8147 7958 236 2077
8178 7966 236 2077
8212 7974 236 2077
8243 7984 236 2077
8275 7993 236 2077
8306 8002 236 2077
8339 8011 236 2077
8371 8020 236 2077
8403 8029 236 2077
8436 8037 236 2077
8467 8046 236 2077
8498 8054 236 2077
8531 8060 236 2077
8562 8063 236 2077
8594 8063 236 2077
8629 8056 236 2077
8659 8045 236 2077
8691 8031 236 2077
8722 8015 236 2077
8754 8001 236 2077
8787 7990 236 2077
8819 7986 236 2077
8850 7987 236 2077
8882 7997 236 2077
8914 8013 236 2077
8947 8033 236 2077
8979 8056 236 2077
9011 8082 236 2077
9042 8114 236 2077
9074 8150 236 2077
9106 8189 236 2077
9139 8232 236 2077
9171 8277 236 2077
9202 8324 236 2077
9234 8371 236 2077
9266 8416 236 2077
9298 8461 236 2077
9331 8506 236 2077
9363 8552 236 2077
9394 8597 236 2077
9427 8641 236 2077
9459 8681 236 2077
9490 8712 236 2077
9522 8730 236 2077
9554 8733 236 2077
9586 8718 236 2077
9618 8686 236 2077
9650 8640 236 2077
9682 8585 236 2077
9714 8526 236 2077
9746 8467 236 2077
9777 8411 236 2077
9810 8361 236 2077
9842 8316 236 2077
9875 8275 236 2077
9907 8239 236 2077
9938 8206 236 2077
9971 8178 236 2077
10002 8153 236 2077
10034 8133 236 2077
10066 8118 236 2077
10098 8107 236 2077
10130 8100 236 2077
10162 8096 236 2077
10194 8093 236 2077
10226 8091 236 2077
10258 8092 236 2077
10290 8093 236 2077
10322 8093 236 2077
10354 8092 236 2077
10385 8087 236 2077
10418 8080 236 2077
10449 8069 236 2077
10481 8056 236 2077
10513 8041 236 2077
10546 8027 236 2077
10577 8014 236 2077
10610 8003 236 2077
10642 7994 236 2077
10674 7990 236 2077
10706 7989 236 2077
10737 7992 236 2077
10770 7998 236 2077
10802 8007 236 2077
10834 8018 236 2077
10865 8031 236 2077
10897 8042 236 2077
10930 8051 236 2077
10963 8058 236 2077
10994 8061 236 2077
11025 8061 236 2077
11057 8059 236 2077
11089 8058 236 2077
11121 8058 236 2077
11154 8061 236 2077
11186 8064 236 2077
11218 8068 236 2077
11249 8070 236 2077
11281 8069 236 2077
11313 8063 236 2077
11345 8053 236 2077
11377 8038 236 2077
11409 8021 236 2077
11441 8005 236 2077
11473 7992 236 2077
11506 7983 236 2077
11537 7976 236 2077
11569 7973 236 2077
11601 7973 236 2077
11633 7977 236 2077
11666 7984 236 2077
11697 7992 236 2077
11729 8002 236 2077
11761 8013 236 2077
11793 8024 236 2077
11825 8036 236 2077
11857 8047 236 2077
11889 8055 236 2077
11921 8062 236 2077
11953 8066 236 2077
11985 8067 236 2077
12017 8068 236 2077
12049 8071 236 2077
12081 8076 236 2077
12113 8081 236 2077
12145 8085 236 2077
12176 8085 236 2077
12208 8081 236 2077
12240 8072 236 2077
12273 8057 236 2077
12304 8038 236 2077
12337 8018 236 2077
12368 8000 236 2077
12401 7987 236 2077
12432 7978 236 2077
12464 7973 236 2077
12496 7971 236 2077
12528 7970 236 2077
12560 7968 236 2077
12592 7966 236 2077
12625 7962 236 2077
12656 7956 236 2077
12688 7947 236 2077
12720 7934 236 2077
12752 7917 236 2077
12784 7899 236 2077
12816 7881 236 2077
12848 7868 236 2077
12881 7863 236 2077
12912 7868 236 2077
12945 7883 236 2077
12976 7906 236 2077
13008 7934 236 2077
13040 7961 236 2077
13072 7984 236 2077
13103 8000 236 2077
13136 8009 236 2077
13169 8011 236 2077
13200 8006 236 2077
13231 7997 236 2077
13263 7985 236 2077
13296 7973 236 2077
13328 7964 236 2077
13360 7959 236 2077
13391 7956 236 2077
13423 7958 236 2077
13456 7964 236 2077
13487 7973 236 2077
13520 7984 236 2077
13551 7997 236 2077
13584 8011 236 2077
13615 8025 236 2077
13648 8039 236 2077
13679 8049 236 2077
13711 8057 236 2077
13743 8063 236 2077
13775 8067 236 2077
13807 8071 236 2077
13840 8077 236 2077
13872 8084 236 2077
13904 8092 236 2077
13935 8103 236 2077
13967 8115 236 2077
14000 8125 236 2077
14031 8133 236 2077
14063 8138 236 2077
14096 8142 236 2077
14127 8147 236 2077
14159 8157 236 2077
14191 8173 236 2077
14223 8199 236 2077
14255 8235 236 2077
14287 8282 236 2077
14320 8339 236 2077
14351 8405 236 2077
14384 8480 236 2077
14415 8561 236 2077
14447 8648 236 2077
14479 8741 236 2077
14512 8841 236 2077
14543 8946 236 2077
14575 9054 236 2077
14607 9163 236 2077
14639 9271 236 2077
14671 9377 236 2077
14703 9479 236 2077
14735 9578 236 2077
14767 9673 236 2077
14799 9762 236 2077
14831 9845 236 2077
14862 9916 236 2077
14895 9971 236 2077
14927 10001 236 2077
14958 10000 236 2077
14992 9964 236 2077
15023 9893 236 2077
15054 9795 236 2077
15086 9677 236 2077
15120 9552 236 2077
15150 9427 236 2077
15183 9309 236 2077
15215 9203 236 2077
15247 9107 236 2077
15278 9019 236 2077
15311 8939 236 2077
15343 8865 236 2077
15374 8797 236 2077
15407 8733 236 2077
15438 8673 236 2077
15471 8615 236 2077
15503 8560 236 2077
15534 8510 236 2077
15566 8464 236 2077
15599 8424 236 2077
15630 8389 236 2077
15662 8355 236 2077
15694 8321 236 2077
15727 8285 236 2077
15758 8246 236 2077
15790 8205 236 2077
15822 8164 236 2077
15854 8124 236 2077
15886 8089 236 2077
15918 8061 236 2077
15950 8040 236 2077
15982 8025 236 2077
16014 8017 236 2077
16046 8012 236 2077
16078 8010 236 2077
16110 8009 236 2077
16142 8010 236 2077
16174 8014 236 2077
16206 8020 236 2077
16238 8026 236 2077
16269 8031 236 2077
16301 8035 236 2077
16334 8037 236 2077
16366 8039 236 2077
16397 8040 236 2077
16429 8042 236 2077
16461 8044 236 2077
16493 8045 236 2077
16526 8040 236 2077
16558 8031 236 2077
16590 8017 236 2077
16621 8001 236 2077
16653 7983 236 2077
16686 7968 236 2077
16718 7955 236 2077
16750 7946 236 2077
16782 7940 236 2077
16814 7938 236 2077
16846 7939 236 2077
16877 7945 236 2077
16909 7953 236 2077
16941 7964 236 2077
16973 7975 236 2077
17005 7988 236 2077
17037 7997 236 2077
17069 7999 236 2077
17101 7989 236 2077
17133 7959 236 2077
17166 7902 236 2077
17197 7819 236 2077
17229 7715 236 2077
17261 7600 236 2077
17293 7488 236 2077
17326 7395 236 2077
17357 7332 236 2077
17389 7306 236 2077
17421 7321 236 2077
17452 7370 236 2077
17485 7442 236 2077
17517 7523 236 2077
17549 7605 236 2077
17581 7679 236 2077
17613 7743 236 2077
17645 7794 236 2077
