Time Value Amplification Displacement
9 14147 0 827
40 14147 0 827
72 14147 0 827
104 14147 0 827
137 14146 0 827
167 14147 0 827
200 14146 0 827
232 14146 0 827
264 14145 0 827
296 14145 0 827
328 14144 0 827
360 14145 0 827
392 14144 0 827
424 14144 0 827
456 14144 0 827
488 14143 0 827
520 14143 0 827
552 14143 0 827
583 14142 0 827
615 14142 0 827
647 14142 0 827
680 14142 0 827
711 14142 0 827
743 14141 0 827
776 14141 0 827
807 14141 0 827
840 14142 0 827
872 14140 0 827
904 14139 0 827
936 14140 0 827
968 14140 0 827
1000 14140 0 827
1032 14139 0 827
1063 14138 0 827
1096 14139 0 827
1127 14138 0 827
1159 14140 0 827
1191 14140 0 827
1224 14139 0 827
1255 14140 0 827
1287 14140 0 827
1319 14138 0 827
1351 14139 0 827
1384 14138 0 827
1415 14140 0 827
1448 14138 0 827
1479 14138 0 827
1511 14138 0 827
1543 14138 0 827
1575 14138 0 827
1607 14137 0 827
1639 14137 0 827
1671 14138 0 827
1703 14136 0 827
1735 14137 0 827
1767 14137 0 827
1799 14136 0 827
1831 14137 0 827
1864 14135 0 827
1895 14136 0 827
1927 14136 0 827
1959 14136 0 827
1990 14136 0 827
2023 14136 0 827
2055 14136 0 827
2086 14136 0 827
2119 14136 0 827
2150 14136 0 827
2182 14135 0 827
2215 14135 0 827
2247 14137 0 827
2278 14134 0 827
2310 14135 0 827
2342 14134 0 827
2375 14135 0 827
2406 14135 0 827
2439 14133 0 827
2471 14135 0 827
2502 14133 0 827
2535 14134 0 827
2567 14134 0 827
2599 14133 0 827
2631 14135 0 827
2663 14135 0 827
2694 14133 0 827
2727 14133 0 827
2758 14133 0 827
2791 14133 0 827
2822 14133 0 827
2854 14134 0 827
2886 14133 0 827
2918 14132 0 827
2950 14133 0 827
2983 14132 0 827
3014 14132 0 827
3046 14132 0 827
3078 14131 0 827
3110 14132 0 827
3142 14131 0 827
3174 14130 0 827
3206 14131 0 827
3238 14130 0 827
3270 14132 0 827
3303 14131 0 827
3334 14130 0 827
3367 14131 0 827
3398 14129 0 827
3430 14129 0 827
3462 14128 0 827
3495 14128 0 827
3526 14128 0 827
3558 14127 0 827
3590 14128 0 827
3622 14130 0 827
3654 14126 0 827
3686 14128 0 827
3718 14126 0 827
3750 14128 0 827
3782 14127 0 827
3814 14126 0 827
3845 14127 0 827
3877 14125 0 827
3910 14125 0 827
3941 14125 0 827
3973 14124 0 827
4006 14125 0 827
4037 14125 0 827
4069 14124 0 827
4102 14124 0 827
4133 14123 0 827
4166 14124 0 827
4197 14122 0 827
4229 14123 0 827
4261 14123 0 827
4293 14122 0 827
4325 14122 0 827
4358 14122 0 827
4390 14122 0 827
4421 14121 0 827
4453 14122 0 827
4485 14122 0 827
4518 14120 0 827
4549 14121 0 827
4581 14122 0 827
4613 14120 0 827
4645 14121 0 827
4677 14120 0 827
4710 14120 0 827
4741 14120 0 827
4773 14120 0 827
4805 14120 0 827
4837 14120 0 827
4869 14119 0 827
4900 14120 0 827
4933 14120 0 827
4965 14120 0 827
4997 14121 0 827
5029 14118 0 827
5061 14119 0 827
5093 14118 0 827
5125 14120 0 827
5158 14118 0 827
5189 14118 0 827
5221 14118 0 827
5252 14117 0 827
5285 14118 0 827
5317 14118 0 827
5349 14117 0 827
5381 14118 0 827
5414 14118 0 827
5445 14118 0 827
5476 14117 0 827
5509 14116 0 827
5540 14118 0 827
5572 14117 0 827
5605 14116 0 827
5637 14116 0 827
5669 14115 0 827
5700 14117 0 827
5732 14114 0 827
5764 14114 0 827
5797 14115 0 827
5828 14114 0 827
5861 14114 0 827
5893 14114 0 827
5925 14112 0 827
5957 14114 0 827
5989 14111 0 827
6021 14113 0 827
6052 14112 0 827
6084 14113 0 827
6116 14112 0 827
6148 14112 0 827
6180 14112 0 827
6212 14112 0 827
6244 14111 0 827
6276 14112 0 827
6308 14111 0 827
6340 14111 0 827
6372 14112 0 827
6404 14110 0 827
6452 14109 0 827
6484 14110 0 827
6517 14110 0 827
6549 14109 0 827
6580 14110 0 827
6612 14108 0 827
6644 14108 0 827
6676 14109 0 827
6708 14108 0 827
6740 14109 0 827
6772 14109 0 827
6804 14108 0 827
6836 14107 0 827
6868 14108 0 827
6900 14108 0 827
6932 14108 0 827
6963 14107 0 827
6996 14109 0 827
7028 14107 0 827
7059 14108 0 827
7092 14107 0 827
7124 14107 0 827
7156 14107 0 827
7187 14106 0 827
7220 14107 0 827
7252 14106 0 827
7283 14105 0 827
7316 14106 0 827
7348 14104 0 827
7380 14105 0 827
7412 14105 0 827
7444 14104 0 827
7475 14105 0 827
7507 14105 0 827
7540 14105 0 827
7572 14104 0 827
7604 14104 0 827
7636 14105 0 827
7668 14104 0 827
7700 14104 0 827
7732 14105 0 827
7764 14104 0 827
7796 14105 0 827
7828 14104 0 827
7859 14103 0 827
7891 14104 0 827
7923 14103 0 827
7956 14105 0 827
7987 14102 0 827
8019 14103 0 827
8051 14103 0 827
8083 14102 0 827
8115 14102 0 827
8147 14102 0 827
8178 14102 0 827
8212 14102 0 827
8243 14101 0 827
8275 14102 0 827
8306 14101 0 827
8339 14100 0 827
8371 14102 0 827
8403 14099 0 827
8436 14100 0 827
8467 14100 0 827
8498 14100 0 827
8531 14100 0 827
8562 14098 0 827
8594 14099 0 827
8629 14099 0 827
8659 14099 0 827
8691 14098 0 827
8722 14098 0 827
8754 14098 0 827
8787 14099 0 827
8819 14096 0 827
8850 14098 0 827
8882 14097 0 827
8914 14098 0 827
8947 14097 0 827
8979 14097 0 827
9011 14097 0 827
9042 14097 0 827
9074 14096 0 827
9106 14097 0 827
9139 14096 0 827
9171 14097 0 827
9202 14096 0 827
9234 14096 0 827
9266 14096 0 827
9298 14096 0 827
9331 14097 0 827
9363 14096 0 827
9394 14096 0 827
9427 14096 0 827
9459 14096 0 827
9490 14097 0 827
9522 14097 0 827
9554 14097 0 827
9586 14097 0 827
9618 14096 0 827
9650 14097 0 827
9682 14097 0 827
9714 14096 0 827
9746 14097 0 827
9777 14096 0 827
9810 14095 0 827
9842 14095 0 827
9875 14094 0 827
9907 14095 0 827
9938 14093 0 827
9971 14094 0 827
10002 14094 0 827
10034 14093 0 827
10066 14094 0 827
10098 14093 0 827
10130 14093 0 827
10162 14093 0 827
10194 14092 0 827
10226 14092 0 827
10258 14092 0 827
10290 14091 0 827
10322 14091 0 827
10354 14091 0 827
10385 14092 0 827
10418 14090 0 827
10449 14092 0 827
10481 14092 0 827
10513 14090 0 827
10546 14091 0 827
10577 14090 0 827
10610 14090 0 827
10642 14089 0 827
10674 14088 0 827
10706 14089 0 827
10737 14087 0 827
10770 14087 0 827
10802 14088 0 827
10834 14087 0 827
10865 14088 0 827
10897 14087 0 827
10930 14086 0 827
10963 14087 0 827
10994 14086 0 827
11025 14086 0 827
11057 14086 0 827
11089 14085 0 827
11121 14087 0 827
11154 14084 0 827
11186 14085 0 827
11218 14085 0 827
11249 14084 0 827
11281 14084 0 827
11313 14084 0 827
11345 14085 0 827
11377 14084 0 827
11409 14084 0 827
11441 14083 0 827
11473 14082 0 827
11506 14083 0 827
11537 14083 0 827
11569 14081 0 827
11601 14082 0 827
11633 14081 0 827
11666 14082 0 827
11697 14081 0 827
11729 14080 0 827
11761 14081 0 827
11793 14079 0 827
11825 14080 0 827
11857 14080 0 827
11889 14079 0 827
11921 14080 0 827
11953 14079 0 827
11985 14079 0 827
12017 14079 0 827
12049 14078 0 827
12081 14079 0 827
12113 14077 0 827
12145 14079 0 827
12176 14078 0 827
12208 14077 0 827
12240 14077 0 827
12273 14076 0 827
12304 14076 0 827
12337 14077 0 827
12368 14076 0 827
12401 14076 0 827
12432 14076 0 827
12464 14075 0 827
12496 14076 0 827
12528 14073 0 827
12560 14073 0 827
12592 14072 0 827
12625 14073 0 827
12656 14072 0 827
12688 14072 0 827
12720 14071 0 827
12752 14072 0 827
12784 14070 0 827
12816 14070 0 827
12848 14070 0 827
12881 14069 0 827
12912 14070 0 827
12945 14069 0 827
12976 14069 0 827
13008 14068 0 827
13040 14068 0 827
13072 14067 0 827
13103 14067 0 827
13136 14068 0 827
13169 14067 0 827
13200 14067 0 827
13231 14067 0 827
13263 14066 0 827
13296 14066 0 827
13328 14066 0 827
13360 14065 0 827
13391 14066 0 827
13423 14064 0 827
13456 14066 0 827
13487 14063 0 827
13520 14064 0 827
13551 14064 0 827
13584 14063 0 827
13615 14063 0 827
13648 14062 0 827
13679 14061 0 827
13711 14062 0 827
13743 14061 0 827
13775 14061 0 827
13807 14060 0 827
13840 14060 0 827
13872 14062 0 827
13904 14058 0 827
13935 14061 0 827
13967 14059 0 827
14000 14059 0 827
14031 14059 0 827
14063 14058 0 827
14096 14059 0 827
14127 14058 0 827
14159 14057 0 827
14191 14058 0 827
14223 14056 0 827
14255 14056 0 827
14287 14057 0 827
14320 14055 0 827
14351 14055 0 827
14384 14054 0 827
14415 14055 0 827
14447 14054 0 827
14479 14053 0 827
14512 14054 0 827
14543 14053 0 827
14575 14054 0 827
14607 14052 0 827
14639 14052 0 827
14671 14052 0 827
14703 14051 0 827
14735 14050 0 827
14767 14051 0 827
14799 14050 0 827
14831 14051 0 827
14862 14049 0 827
14895 14050 0 827
14927 14050 0 827
14958 14049 0 827
14992 14050 0 827
15023 14048 0 827
15054 14049 0 827
15086 14048 0 827
15120 14048 0 827
15150 14048 0 827
15183 14047 0 827
15215 14047 0 827
15247 14048 0 827
15278 14044 0 827
15311 14046 0 827
15343 14046 0 827
15374 14046 0 827
15407 14045 0 827
15438 14043 0 827
15471 14044 0 827
15503 14044 0 827
15534 14042 0 827
15566 14043 0 827
15599 14042 0 827
15630 14043 0 827
15662 14043 0 827
15694 14042 0 827
15727 14041 0 827
15758 14041 0 827
15790 14041 0 827
15822 14040 0 827
15854 14040 0 827
15886 14040 0 827
15918 14039 0 827
15950 14040 0 827
15982 14039 0 827
16014 14038 0 827
16046 14039 0 827
16078 14038 0 827
16110 14038 0 827
16142 14039 0 827
16174 14038 0 827
16206 14038 0 827
16238 14036 0 827
16269 14037 0 827
16301 14037 0 827
16334 14037 0 827
16366 14037 0 827
16397 14037 0 827
16429 14037 0 827
16461 14037 0 827
16493 14037 0 827
16526 14037 0 827
16558 14037 0 827
16590 14037 0 827
16621 14038 0 827
16653 14036 0 827
16686 14037 0 827
16718 14036 0 827
16750 14036 0 827
16782 14036 0 827
16814 14035 0 827
16846 14036 0 827
16877 14035 0 827
16909 14035 0 827
16941 14035 0 827
16973 14033 0 827
17005 14034 0 827
17037 14035 0 827
17069 14033 0 827
17101 14034 0 827
17133 14032 0 827
17166 14035 0 827
17197 14033 0 827
17229 14032 0 827
17261 14033 0 827
17293 14033 0 827
17326 14031 0 827
17357 14032 0 827
17389 14031 0 827
17421 14031 0 827
17452 14031 0 827
17485 14031 0 827
17517 14031 0 827
17549 14031 0 827
17581 14032 0 827
17613 14029 0 827
17645 14030 0 827
17676 14029 0 827
17709 14028 0 827
17741 14029 0 827
17773 14027 0 827
17804 14027 0 827
17837 14027 0 827
17869 14026 0 827
17900 14026 0 827
17932 14025 0 827
17965 14025 0 827
17996 14026 0 827
18029 14023 0 827
18061 14025 0 827
18092 14024 0 827
18124 14023 0 827
18157 14024 0 827
18190 14023 0 827
18221 14024 0 827
18253 14023 0 827
18284 14022 0 827
18316 14022 0 827
18348 14022 0 827
18380 14022 0 827
18412 14022 0 827
18444 14021 0 827
18476 14022 0 827
18508 14020 0 827
18540 14021 0 827
18572 14019 0 827
18604 14018 0 827
18636 14019 0 827
18668 14017 0 827
18700 14016 0 827
18733 14017 0 827
18764 14017 0 827
18796 14016 0 827
18828 14016 0 827
18860 14015 0 827
18891 14015 0 827
18924 14014 0 827
18955 14015 0 827
18988 14013 0 827
19020 14013 0 827
19052 14014 0 827
19084 14013 0 827
19116 14013 0 827
19148 14012 0 827
19180 14012 0 827
19211 14012 0 827
19243 14011 0 827
19275 14012 0 827
19307 14011 0 827
19340 14011 0 827
19372 14011 0 827
19404 14008 0 827
19436 14009 0 827
19467 14008 0 827
19499 14008 0 827
19531 14009 0 827
19563 14007 0 827
19595 14008 0 827
19627 14007 0 827
19659 14007 0 827
19691 14006 0 827
19724 14005 0 827
19755 14007 0 827
19788 14006 0 827
19820 14003 0 827
19851 14005 0 827
19884 14004 0 827
19916 14005 0 827
19947 14003 0 827
19979 14003 0 827
20011 14004 0 827
20044 14003 0 827
20075 14003 0 827
20107 14002 0 827
20139 14001 0 827
20172 14002 0 827
20204 14000 0 827
20234 14001 0 827
20267 14001 0 827
20299 14000 0 827
20330 14001 0 827
20362 13999 0 827
20395 13999 0 827
20427 14000 0 827
20460 13998 0 827
20490 13999 0 827
20523 13997 0 827
20555 13997 0 827
20587 13998 0 827
20619 13998 0 827
20651 13997 0 827
20683 13996 0 827
20715 13997 0 827
20746 13997 0 827
20779 13994 0 827
20811 13996 0 827
20842 13994 0 827
20875 13994 0 827
20907 13994 0 827
20939 13993 0 827
20971 13995 0 827
21003 13993 0 827
21034 13993 0 827
21067 13993 0 827
21100 13992 0 827
21131 13993 0 827
21163 13993 0 827
21195 13991 0 827
21227 13991 0 827
21258 13990 0 827
21290 13991 0 827
21323 13990 0 827
21355 13988 0 827
21387 13989 0 827
21418 13988 0 827
21450 13989 0 827
21482 13988 0 827
21514 13988 0 827
21546 13987 0 827
21579 13987 0 827
21610 13986 0 827
21643 13986 0 827
21674 13984 0 827
21706 13985 0 827
21738 13984 0 827
21770 13985 0 827
21802 13984 0 827
21834 13983 0 827
21866 13984 0 827
21898 13983 0 827
21930 13983 0 827
21963 13984 0 827
21994 13983 0 827
22026 13983 0 827
22059 13982 0 827
22089 13981 0 827
22122 13982 0 827
22154 13979 0 827
22187 13981 0 827
22219 13980 0 827
22250 13980 0 827
22282 13980 0 827
22314 13979 0 827
22346 13979 0 827
22378 13977 0 827
22410 13977 0 827
22441 13977 0 827
22473 13976 0 827
22506 13977 0 827
22538 13977 0 827
22570 13975 0 827
22602 13976 0 827
22634 13975 0 827
22665 13976 0 827
22697 13975 0 827
22730 13975 0 827
22761 13975 0 827
22793 13973 0 827
22826 13974 0 827
22857 13973 0 827
22889 13973 0 827
22923 13973 0 827
22954 13972 0 827
22986 13973 0 827
23017 13972 0 827
23049 13971 0 827
23081 13972 0 827
23113 13970 0 827
23145 13970 0 827
23179 13970 0 827
23209 13969 0 827
23242 13969 0 827
23273 13968 0 827
23306 13969 0 827
23337 13968 0 827
23369 13968 0 827
23400 13968 0 827
23433 13967 0 827
23465 13967 0 827
23497 13968 0 827
23529 13965 0 827
23561 13967 0 827
23593 13967 0 827
23625 13966 0 827
23658 13967 0 827
23689 13965 0 827
23721 13966 0 827
23753 13965 0 827
23785 13965 0 827
23817 13965 0 827
23849 13964 0 827
23881 13965 0 827
23913 13964 0 827
23945 13963 0 827
23977 13963 0 827
24008 13962 0 827
24041 13962 0 827
24073 13961 0 827
24105 13960 0 827
24137 13961 0 827
24169 13960 0 827
24200 13961 0 827
24233 13960 0 827
24264 13959 0 827
24296 13960 0 827
24328 13960 0 827
24361 13960 0 827
24393 13959 0 827
24424 13958 0 827
24456 13959 0 827
24488 13957 0 827
24520 13959 0 827
24552 13958 0 827
24584 13958 0 827
24616 13959 0 827
24648 13958 0 827
24680 13958 0 827
24713 13958 0 827
24744 13957 0 827
24776 13958 0 827
24807 13957 0 827
24841 13957 0 827
24872 13957 0 827
24904 13955 0 827
24936 13956 0 827
24968 13956 0 827
25000 13957 0 827
25031 13956 0 827
25065 13955 0 827
25095 13956 0 827
25128 13957 0 827
25160 13956 0 827
25191 13956 0 827
25224 13955 0 827
25256 13957 0 827
25288 13958 0 827
25321 13956 0 827
25351 13957 0 827
25383 13956 0 827
25416 13957 0 827
25449 13957 0 827
25480 13957 0 827
25512 13957 0 827
25544 13957 0 827
25576 13957 0 827
25607 13956 0 827
25640 13956 0 827
25672 13955 0 827
25704 13955 0 827
25736 13955 0 827
25767 13954 0 827
25799 13956 0 827
25832 13956 0 827
25863 13954 0 827
25896 13955 0 827
25928 13955 0 827
25960 13954 0 827
25992 13955 0 827
26023 13954 0 827
26055 13954 0 827
26087 13954 0 827
26119 13955 0 827
26151 13954 0 827
26183 13952 0 827
26214 13953 0 827
26248 13953 0 827
26279 13951 0 827
26312 13951 0 827
26343 13951 0 827
26375 13951 0 827
26407 13951 0 827
26439 13950 0 827
26471 13951 0 827
26502 13950 0 827
26535 13949 0 827
26567 13949 0 827
26599 13949 0 827
26630 13949 0 827
26663 13950 0 827
26695 13947 0 827
26726 13948 0 827
26759 13948 0 827
26791 13948 0 827
26823 13947 0 827
26855 13947 0 827
26886 13946 0 827
26918 13945 0 827
26950 13946 0 827
26982 13944 0 827
27014 13945 0 827
27047 13945 0 827
27079 13944 0 827
27111 13944 0 827
27142 13944 0 827
27175 13943 0 827
27207 13945 0 827
27238 13943 0 827
27271 13944 0 827
27302 13943 0 827
27334 13943 0 827
27366 13944 0 827
27398 13943 0 827
27431 13943 0 827
27462 13943 0 827
27494 13942 0 827
27527 13943 0 827
27558 13943 0 827
27590 13943 0 827
27622 13944 0 827
27654 13941 0 827
27686 13942 0 827
27718 13942 0 827
27750 13942 0 827
27782 13942 0 827
27814 13941 0 827
27845 13942 0 827
27878 13941 0 827
27910 13941 0 827
27942 13941 0 827
27974 13940 0 827
28006 13940 0 827
28038 13941 0 827
28071 13939 0 827
28102 13939 0 827
28134 13938 0 827
28165 13939 0 827
28198 13937 0 827
28231 13937 0 827
28262 13937 0 827
28293 13936 0 827
28325 13937 0 827
28358 13936 0 827
28390 13935 0 827
28422 13936 0 827
28453 13935 0 827
28485 13935 0 827
28517 13935 0 827
28549 13934 0 827
28581 13935 0 827
28613 13933 0 827
28646 13934 0 827
28677 13933 0 827
28709 13932 0 827
28741 13933 0 827
28773 13931 0 827
28805 13932 0 827
28838 13931 0 827
28869 13929 0 827
28901 13929 0 827
28934 13929 0 827
28965 13930 0 827
28997 13930 0 827
29029 13927 0 827
29061 13928 0 827
29093 13928 0 827
29125 13928 0 827
29157 13927 0 827
29189 13927 0 827
29220 13927 0 827
29253 13926 0 827
29285 13926 0 827
29316 13925 0 827
29349 13924 0 827
29380 13925 0 827
29413 13926 0 827
29445 13923 0 827
29477 13924 0 827
29509 13923 0 827
29540 13923 0 827
29573 13921 0 827
29605 13921 0 827
29637 13921 0 827
29669 13920 0 827
29701 13920 0 827
29733 13920 0 827
29765 13919 0 827
29796 13919 0 827
29829 13920 0 827
29860 13919 0 827
29892 13918 0 827
29924 13917 0 827
29957 13918 0 827
29989 13916 0 827
30020 13917 0 827
30053 13916 0 827
30085 13915 0 827
30116 13916 0 827
30149 13915 0 827
30180 13916 0 827
30212 13914 0 827
30245 13915 0 827
30276 13915 0 827
30308 13914 0 827
30340 13914 0 827
30372 13915 0 827
30405 13913 0 827
30437 13914 0 827
30468 13914 0 827
30500 13914 0 827
30532 13913 0 827
30564 13912 0 827
30596 13913 0 827
30628 13912 0 827
30660 13913 0 827
30692 13913 0 827
30724 13912 0 827
30756 13912 0 827
30789 13913 0 827
30820 13912 0 827
30852 13913 0 827
30884 13912 0 827
30916 13913 0 827
30947 13913 0 827
30980 13913 0 827
31012 13915 0 827
31043 13915 0 827
31075 13916 0 827
31108 13916 0 827
31140 13917 0 827
31171 13918 0 827
31204 13918 0 827
31235 13918 0 827
31269 13919 0 827
31300 13918 0 827
31331 13919 0 827
31363 13917 0 827
31396 13918 0 827
31428 13918 0 827
31459 13917 0 827
31491 13918 0 827
31524 13917 0 827
31556 13918 0 827
31587 13918 0 827
31619 13917 0 827
31651 13918 0 827
31689 13918 0 827
31811 13919 0 827
31843 13916 0 827
31875 13917 0 827
31907 13918 0 827
31939 13917 0 827
31971 13918 0 827
32003 13917 0 827
32035 13918 0 827
32068 13917 0 827
32099 13917 0 827
32137 13916 0 827
32162 13916 0 827
32198 13915 0 827
32248 13916 0 827
32291 13917 0 827
32323 13916 0 827
32354 13916 0 827
32387 13917 0 827
32426 13914 0 827
32454 13913 0 827
32486 13913 0 827
32515 13912 0 827
32547 13913 0 827
32579 13913 0 827
32611 13914 0 827
32642 13914 0 827
32674 13913 0 827
32710 13915 0 827
32756 13914 0 827
32806 13915 0 827
32837 13913 0 827
32876 13914 0 827
32901 13912 0 827
32934 13912 0 827
32966 13912 0 827
32994 13912 0 827
33026 13911 0 827
33058 13910 0 827
33094 13911 0 827
33123 13911 0 827
33159 13909 0 827
33188 13912 0 827
33220 13912 0 827
33259 13912 0 827
33282 13912 0 827
33316 13911 0 827
33346 13912 0 827
33389 13911 0 827
33410 13911 0 827
33445 13910 0 827
33493 13909 0 827
33527 13910 0 827
33554 13908 0 827
33586 13910 0 827
33618 13910 0 827
33649 13911 0 827
33682 13911 0 827
33714 13910 0 827
33746 13912 0 827
33777 13910 0 827
33812 13908 0 827
33858 13908 0 827
33907 13909 0 827
33944 13908 0 827
33972 13908 0 827
34002 13908 0 827
34034 13909 0 827
34065 13908 0 827
34097 13909 0 827
34130 13908 0 827
34165 13910 0 827
34194 13906 0 827
34226 13907 0 827
34257 13906 0 827
34289 13906 0 827
34322 13905 0 827
34353 13905 0 827
34386 13906 0 827
34417 13906 0 827
34472 13906 0 827
34497 13908 0 827
34529 13905 0 827
34561 13906 0 827
34594 13906 0 827
34626 13905 0 827
34657 13904 0 827
34689 13903 0 827
34721 13902 0 827
34754 13902 0 827
34793 13901 0 827
34817 13902 0 827
34849 13901 0 827
34882 13902 0 827
34913 13903 0 827
34945 13901 0 827
34977 13901 0 827
35009 13900 0 827
35043 13901 0 827
35081 13900 0 827
35125 13900 0 827
35165 13898 0 827
35187 13899 0 827
35217 13899 0 827
35249 13898 0 827
35280 13898 0 827
35316 13898 0 827
35345 13897 0 827
35377 13897 0 827
35409 13896 0 827
35440 13896 0 827
35473 13895 0 827
35504 13894 0 827
35559 13894 0 827
35593 13892 0 827
35619 13892 0 827
35652 13893 0 827
35699 13892 0 827
35729 13891 0 827
35761 13892 0 827
35796 13892 0 827
35828 13889 0 827
35874 13889 0 827
35904 13888 0 827
35936 13889 0 827
35969 13889 0 827
36000 13890 0 827
36033 13891 0 827
36065 13890 0 827
36110 13892 0 827
36128 13889 0 827
36160 13889 0 827
36193 13890 0 827
36226 13888 0 827
36256 13888 0 827
36295 13889 0 827
36324 13887 0 827
36354 13888 0 827
36384 13888 0 827
36416 13888 0 827
36448 13887 0 827
36493 13885 0 827
36512 13885 0 827
36543 13885 0 827
36576 13885 0 827
36608 13883 0 827
36640 13883 0 827
36672 13883 0 827
36725 13881 0 827
36752 13882 0 827
36784 13881 0 827
36815 13881 0 827
36847 13881 0 827
36880 13882 0 827
36911 13884 0 827
36944 13883 0 827
36979 13886 0 827
37007 13884 0 827
37039 13883 0 827
37071 13882 0 827
37103 13881 0 827
37135 13880 0 827
37167 13881 0 827
37199 13880 0 827
37232 13880 0 827
37263 13878 0 827
37296 13878 0 827
37328 13878 0 827
37360 13879 0 827
37395 13879 0 827
37423 13877 0 827
37455 13879 0 827
37487 13876 0 827
37519 13877 0 827
37552 13877 0 827
37582 13878 0 827
37615 13878 0 827
37647 13877 0 827
37678 13877 0 827
37711 13879 0 827
37743 13879 0 827
37775 13879 0 827
37807 13880 0 827
37839 13879 0 827
37893 13881 0 827
37919 13879 0 827
37951 13880 0 827
37983 13879 0 827
38015 13880 0 827
38047 13880 0 827
38079 13879 0 827
38110 13879 0 827
38143 13879 0 827
38175 13879 0 827
38207 13880 0 827
38239 13877 0 827
38270 13879 0 827
38302 13877 0 827
38335 13878 0 827
38367 13877 0 827
38399 13878 0 827
38431 13878 0 827
38463 13879 0 827
38494 13880 0 827
38526 13879 0 827
38559 13878 0 827
38590 13879 0 827
38622 13880 0 827
38654 13877 0 827
38687 13878 0 827
38718 13877 0 827
38752 13877 0 827
38782 13877 0 827
38814 13877 0 827
38846 13876 0 827
38877 13875 0 827
38910 13876 0 827
38941 13876 0 827
38974 13875 0 827
39006 13876 0 827
39038 13876 0 827
39070 13874 0 827
39102 13875 0 827
39134 13874 0 827
39167 13875 0 827
39198 13874 0 827
39229 13875 0 827
39263 13875 0 827
39294 13873 0 827
39326 13875 0 827
39357 13873 0 827
39390 13873 0 827
39421 13873 0 827
39454 13872 0 827
39485 13872 0 827
39517 13871 0 827
39549 13871 0 827
39581 13872 0 827
39613 13869 0 827
39646 13871 0 827
39678 13870 0 827
39710 13869 0 827
39741 13870 0 827
39774 13868 0 827
39806 13869 0 827
39837 13868 0 827
39869 13867 0 827
39901 13868 0 827
39933 13866 0 827
39965 13866 0 827
39998 13867 0 827
40029 13864 0 827
40061 13866 0 827
40093 13865 0 827
40125 13865 0 827
40157 13864 0 827
40190 13864 0 827
40222 13864 0 827
40254 13863 0 827
40285 13862 0 827
40317 13862 0 827
40349 13862 0 827
40382 13862 0 827
40413 13861 0 827
40445 13860 0 827
40478 13859 0 827
40509 13859 0 827
40541 13861 0 827
40577 13860 0 827
40609 13860 0 827
40640 13860 0 827
40672 13859 0 827
40710 13860 0 827
40732 13858 0 827
40765 13859 0 827
40809 13859 0 827
40828 13858 0 827
40860 13859 0 827
40895 13858 0 827
40924 13857 0 827
40957 13859 0 827
40993 13856 0 827
41043 13858 0 827
41092 13856 0 827
41126 13856 0 827
41151 13855 0 827
41181 13855 0 827
41212 13855 0 827
41245 13854 0 827
41276 13854 0 827
41311 13854 0 827
41347 13853 0 827
41375 13855 0 827
41410 13853 0 827
41444 13855 0 827
41470 13855 0 827
41509 13855 0 827
41547 13854 0 827
41598 13855 0 827
41642 13854 0 827
41661 13854 0 827
41692 13854 0 827
41729 13853 0 827
41759 13852 0 827
41792 13852 0 827
41827 13850 0 827
41854 13851 0 827
41886 13850 0 827
41926 13851 0 827
41972 13850 0 827
42007 13852 0 827
42028 13849 0 827
42063 13850 0 827
42092 13849 0 827
42126 13849 0 827
42160 13849 0 827
42194 13848 0 827
42223 13848 0 827
42251 13848 0 827
42283 13848 0 827
42316 13849 0 827
42347 13849 0 827
42393 13848 0 827
42411 13850 0 827
42444 13849 0 827
42476 13849 0 827
42526 13849 0 827
42559 13848 0 827
42587 13848 0 827
42626 13847 0 827
42654 13847 0 827
42686 13845 0 827
42726 13846 0 827
42748 13846 0 827
42782 13843 0 827
42812 13845 0 827
42845 13844 0 827
42875 13845 0 827
42910 13846 0 827
42940 13843 0 827
42974 13844 0 827
43003 13843 0 827
43060 13843 0 827
43083 13843 0 827
43115 13843 0 827
43150 13844 0 827
43192 13842 0 827
43215 13843 0 827
43248 13843 0 827
43282 13843 0 827
43307 13843 0 827
43342 13841 0 827
43372 13844 0 827
43403 13842 0 827
43438 13842 0 827
43467 13842 0 827
43510 13842 0 827
43531 13842 0 827
43566 13842 0 827
43595 13843 0 827
43630 13843 0 827
43659 13841 0 827
43691 13843 0 827
43726 13841 0 827
43755 13843 0 827
43793 13843 0 827
43819 13841 0 827
