Time Value Amplification Displacement
9 8399 0 2054
40 8420 0 2054
72 8462 0 2054
104 8495 0 2054
137 8491 0 2054
167 8465 0 2054
200 8455 0 2054
232 8146 0 2054
264 8168 0 2054
296 8179 0 2054
328 8185 0 2054
360 8195 0 2054
392 8203 0 2054
424 8200 0 2054
456 8194 0 2054
488 8196 0 2054
520 8205 0 2054
552 8211 0 2054
583 8209 0 2054
615 8206 0 2054
647 8204 0 2054
680 8209 0 2054
711 8211 0 2054
743 8211 0 2054
776 8207 0 2005
807 8534 0 2005
840 8534 0 2005
872 8533 0 2005
904 8531 0 2005
936 8525 0 2005
968 8524 0 2005
1000 8549 0 2005
1032 8583 0 2005
1063 8607 0 2005
1096 8600 0 2005
1127 8576 0 2005
1159 8574 0 2005
1191 8585 0 2005
1224 8603 0 2005
1255 8613 0 2005
1287 8615 0 2005
1319 8627 0 2005
1351 8629 0 2005
1384 8622 0 2005
1415 8619 0 2008
1448 8601 0 2008
1479 8608 0 2008
1511 8607 0 2008
1543 8602 0 2008
1575 8603 0 2008
1607 8600 0 2008
1639 8607 0 2008
1671 8613 0 2008
1703 8614 0 2008
1735 8619 0 2008
1767 8623 0 2008
1799 8626 0 2008
1831 8626 0 2008
1864 8617 0 2008
1895 8611 0 2008
1927 8615 0 2008
1959 8638 0 2008
1990 8653 0 2008
2023 8634 0 2008
2055 8614 0 2008
2086 8607 0 2008
2119 8625 0 2008
2150 8639 0 2008
2182 8631 0 2008
2215 8620 0 2008
2247 8613 0 2008
2278 8604 0 2008
2310 8587 0 2008
2342 8562 0 2008
2375 8552 0 2008
2406 8542 0 2008
2439 8529 0 2012
2471 8488 0 2012
2502 8472 0 2012
2535 8466 0 2012
2567 8458 0 2012
2599 8453 0 2012
2631 8451 0 2012
2663 8448 0 2012
2694 8451 0 2012
2727 8450 0 2012
2758 8440 0 2012
2791 8430 0 2012
2822 8432 0 2012
2854 8455 0 2012
2886 8482 0 2012
2918 8486 0 2012
2950 8461 0 2012
2983 8438 0 2012
3014 8446 0 2012
3046 8460 0 2012
3078 8467 0 2012
3110 8472 0 2012
3142 8478 0 2012
3174 8486 0 2012
3206 8487 0 2012
3238 8486 0 2012
3270 8495 0 2012
3303 8500 0 2012
3334 8503 0 2012
3367 8502 0 2012
3398 8488 0 2012
3430 8486 0 2023
3462 8415 0 2023
3495 8421 0 2023
3526 8422 0 2023
3558 8415 0 2023
3590 8410 0 2023
3622 8401 0 2023
3654 8391 0 2023
3686 8390 0 2023
3718 8403 0 2023
3750 8430 0 2023
3782 8447 0 2023
3814 8429 0 2023
3845 8405 0 2023
3877 8398 0 2023
3910 8416 0 2023
3941 8422 0 2023
3973 8420 0 2023
4006 8422 0 2023
4037 8427 0 2023
4069 8431 0 2023
4102 8421 0 2023
4133 8416 0 2023
4166 8416 0 2023
4197 8415 0 2023
4229 8409 0 2023
4261 8398 0 2023
4293 8388 0 2023
4325 8387 0 2023
4358 8381 0 2023
4390 8381 0 2023
4421 8374 0 2042
4453 8237 0 2042
4485 8224 0 2042
4518 8206 0 2042
4549 8209 0 2042
